,Column,Feature,Importance Score
519,Column_519, stirnwa,0
520,Column_520, sto,0
521,Column_521, stof,2
522,Column_522, stoff,1
523,Column_523, stos,3
524,Column_524, stoss,1
525,Column_525, stossf,2
526,Column_526, stossfa,0
527,Column_527, str,0
528,Column_528, stu,0
529,Column_529, stue,0
530,Column_530, stuet,0
531,Column_531, stuetz,0
532,Column_532, stuetzt,0
533,Column_533, stv,0
534,Column_534, stv ,0
535,Column_535, stv v,0
536,Column_536, stv vo,0
537,Column_537, stw,0
538,Column_538, stw ,0
539,Column_539, sw,0
540,Column_540, sw ,0
541,Column_541, swa,0
542,Column_542, ta,0
543,Column_543, tag,0
544,Column_544, tag ,0
545,Column_545, tah,0
546,Column_546, tah ,0
547,Column_547, tah t,0
548,Column_548, tan,0
549,Column_549, tank,0
550,Column_550, tank ,0
551,Column_551, te,5
552,Column_552, tei,0
553,Column_553, teil,0
554,Column_554, teil ,0
555,Column_555, th,56
556,Column_556, th ,0
557,Column_557, to,0
558,Column_558, top,0
559,Column_559, tr,0
560,Column_560, tra,0
561,Column_561, trae,0
562,Column_562, traeg,0
563,Column_563, traege,0
564,Column_564, traeger,0
565,Column_565, trag,0
566,Column_566, tragr,0
567,Column_567, tragro,0
568,Column_568, tragroh,0
569,Column_569, tre,0
570,Column_570, tren,0
571,Column_571, trenn,0
572,Column_572, trennw,0
573,Column_573, trennwa,0
574,Column_574, tu,2
575,Column_575, tue,0
576,Column_576, tuer,1
577,Column_577, tuer ,0
578,Column_578, tuer h,28
579,Column_579, tuer hi,9
580,Column_580, tuer v,12
581,Column_581, tuer vo,3
582,Column_582, tuera,0
583,Column_583, tuerau,0
584,Column_584, tueraus,0
585,Column_585, tuero,0
586,Column_586, tueroe,0
587,Column_587, tueroef,0
588,Column_588, tun,0
589,Column_589, tunn,0
590,Column_590, tunne,0
591,Column_591, tunnel,0
592,Column_592, tunnel ,0
593,Column_593, tv,29
594,Column_594, tv ,1
595,Column_595, tvk,0
596,Column_596, tvkl,0
597,Column_597, tvkl ,0
598,Column_598, uk,0
