,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,depth,colsample_bylevel,min_data_in_leaf,test f1_score,early stopping (iterations)
16,model_9935,0.999999473289948,0.005760320285783392,0.9935387153535957,0.015085469759605804,0.9956021650879567,0.963496295615265,,148,0.05,6,0.9,30,0.9748624821827017,50
17,model_9935,0.999999473289948,0.005760320285783392,0.9935387153535957,0.015085469759605804,0.9956021650879567,0.963496295615265,,151,0.05,6,0.9,40,0.9748624821827017,50
18,model_9942,0.9999999414766609,0.004291482321470433,0.9942435827695671,0.014924746336658357,0.9956021650879567,0.9600766671008242,,184,0.05,9,0.5,20,0.9746845616538437,50
19,model_9942,0.9999999414766609,0.004291482321470433,0.9942435827695671,0.014924746336658357,0.9956021650879567,0.9600766671008242,,191,0.05,9,0.5,30,0.9746845616538437,50
20,model_9942,0.9999999414766609,0.004291482321470433,0.9942435827695671,0.014924746336658357,0.9956021650879567,0.9600766671008242,,187,0.05,9,0.5,40,0.9746845616538437,50
21,model_9959,0.9999999414766609,0.0015984030557991667,0.9959214736836729,0.012347730575132406,0.996617050067659,0.970868034007299,,255,0.05,9,0.7,20,0.9807311222361285,50
22,model_9959,0.9999999414766609,0.0015984030557991667,0.9959214736836729,0.012347730575132406,0.996617050067659,0.970868034007299,,264,0.05,9,0.7,30,0.9807311222361285,50
23,model_9959,0.9999999414766609,0.0015984030557991667,0.9959214736836729,0.012347730575132406,0.996617050067659,0.970868034007299,,257,0.05,9,0.7,40,0.9807311222361285,50
24,model_9940,0.9999999414766609,0.004033342520332689,0.9940801352528201,0.014048435155097757,0.9956021650879567,0.9600766671008242,,188,0.05,9,0.9,20,0.9746845616538437,50
25,model_9940,0.9999999414766609,0.004033342520332689,0.9940801352528201,0.014048435155097757,0.9956021650879567,0.9600766671008242,,190,0.05,9,0.9,30,0.9746845616538437,50
26,model_9940,0.9999999414766609,0.004033342520332689,0.9940801352528201,0.014048435155097757,0.9956021650879567,0.9600766671008242,,189,0.05,9,0.9,40,0.9746845616538437,50
27,model_9923,0.9999753031508966,0.010796587350510875,0.9923307360501376,0.019209286960464766,0.9949255751014885,0.9528824224965076,,94,0.07,4,0.5,20,0.9705815029707109,50
28,model_9923,0.9999753031508966,0.010796587350510875,0.9923307360501376,0.019209286960464766,0.9949255751014885,0.9528824224965076,,94,0.07,4,0.5,30,0.9705815029707109,50
29,model_9923,0.9999753031508966,0.010796587350510875,0.9923307360501376,0.019209286960464766,0.9949255751014885,0.9528824224965076,,100,0.07,4,0.5,40,0.9705815029707109,50
30,model_9935,0.999999473289948,0.00495170591497389,0.9935565924257399,0.01484238403597885,0.9962787550744249,0.9706905402195816,,112,0.07,4,0.7,20,0.9788781296140757,50
31,model_9935,0.999999473289948,0.00495170591497389,0.9935565924257399,0.01484238403597885,0.9962787550744249,0.9706905402195816,,112,0.07,4,0.7,30,0.9788781296140757,50
32,model_9935,0.999999473289948,0.00495170591497389,0.9935565924257399,0.01484238403597885,0.9962787550744249,0.9706905402195816,,155,0.07,4,0.7,40,0.9788781296140757,50
33,model_9923,0.9999843157451191,0.009485308242179108,0.9923435053873834,0.017887566553774326,0.9945872801082544,0.9527049287087901,,137,0.07,4,0.9,20,0.9687318192876861,50
34,model_9923,0.9999843157451191,0.009485308242179108,0.9923435053873834,0.017887566553774326,0.9945872801082544,0.9527049287087901,,119,0.07,4,0.9,30,0.9687318192876861,50
35,model_9923,0.9999843157451191,0.009485308242179108,0.9923435053873834,0.017887566553774326,0.9945872801082544,0.9527049287087901,,96,0.07,4,0.9,40,0.9687318192876861,50
36,model_9909,0.9995240882063767,0.02207178831927183,0.9909133396158473,0.0263871727395549,0.9945872801082544,0.9492853001943493,,86,0.07,6,0.5,20,0.9685078796885944,50
37,model_9909,0.9995240882063767,0.02207178831927183,0.9909133396158473,0.0263871727395549,0.9945872801082544,0.9492853001943493,,86,0.07,6,0.5,30,0.9685078796885944,50
38,model_9909,0.9995240882063767,0.02207178831927183,0.9909133396158473,0.0263871727395549,0.9945872801082544,0.9492853001943493,,84,0.07,6,0.5,40,0.9685078796885944,50
39,model_9903,0.9998259515894939,0.017739222983423238,0.9903412733072328,0.023832681318335706,0.9949255751014885,0.9494627939820668,,85,0.07,6,0.7,20,0.9703699743727676,50
40,model_9903,0.9998259515894939,0.017739222983423238,0.9903412733072328,0.023832681318335706,0.9949255751014885,0.9494627939820668,,114,0.07,6,0.7,30,0.9703699743727676,50
41,model_9903,0.9998259515894939,0.017739222983423238,0.9903412733072328,0.023832681318335706,0.9949255751014885,0.9494627939820668,,122,0.07,6,0.7,40,0.9703699743727676,50
42,model_9933,0.9999997073833045,0.005364571188773172,0.993319082752967,0.014963049465548333,0.9952638700947226,0.9564795447986658,,156,0.07,6,0.9,20,0.9726403418767255,50
43,model_9933,0.9999997073833045,0.005364571188773172,0.993319082752967,0.014963049465548333,0.9952638700947226,0.9564795447986658,,151,0.07,6,0.9,30,0.9726403418767255,50
44,model_9933,0.9999997073833045,0.005364571188773172,0.993319082752967,0.014963049465548333,0.9952638700947226,0.9564795447986658,,157,0.07,6,0.9,40,0.9726403418767255,50
45,model_9944,0.9999999414766609,0.0029361473927909656,0.9944376766957042,0.013865632865234203,0.9959404600811907,0.9636737894029824,,191,0.07,9,0.5,20,0.9767143251014219,50
46,model_9944,0.9999999414766609,0.0029361473927909656,0.9944376766957042,0.013865632865234203,0.9959404600811907,0.9636737894029824,,188,0.07,9,0.5,30,0.9767143251014219,50
47,model_9944,0.9999999414766609,0.0029361473927909656,0.9944376766957042,0.013865632865234203,0.9959404600811907,0.9636737894029824,,199,0.07,9,0.5,40,0.9767143251014219,50
48,model_9913,0.9981664052624186,0.027362572965784884,0.9913679280217998,0.030643686681614837,0.9925575101488497,0.9277025663813997,,123,0.07,9,0.7,20,0.9557460939626545,50
49,model_9913,0.9981664052624186,0.027362572965784884,0.9913679280217998,0.030643686681614837,0.9925575101488497,0.9277025663813997,,128,0.07,9,0.7,30,0.9557460939626545,50
50,model_9913,0.9981664052624186,0.027362572965784884,0.9913679280217998,0.030643686681614837,0.9925575101488497,0.9277025663813997,,160,0.07,9,0.7,40,0.9557460939626545,50
51,model_9906,0.997590769698956,0.036440277438783204,0.990686045412871,0.03869487907851583,0.9922192151556157,0.9241054440792414,,145,0.07,9,0.9,20,0.9535641375372492,50
52,model_9906,0.997590769698956,0.036440277438783204,0.990686045412871,0.03869487907851583,0.9922192151556157,0.9241054440792414,,122,0.07,9,0.9,30,0.9535641375372492,50
53,model_9906,0.997590769698956,0.036440277438783204,0.990686045412871,0.03869487907851583,0.9922192151556157,0.9241054440792414,,122,0.07,9,0.9,40,0.9535641375372492,50
54,model_9916,0.9997588253195374,0.019262186683645807,0.9916156531643695,0.023777682543460212,0.9939106901217862,0.9420910555900328,,119,0.1,4,0.5,20,0.9643156064898275,50
55,model_9916,0.9997588253195374,0.019262186683645807,0.9916156531643695,0.023777682543460212,0.9939106901217862,0.9420910555900328,,123,0.1,4,0.5,30,0.9643156064898275,50
56,model_9916,0.9997588253195374,0.019262186683645807,0.9916156531643695,0.023777682543460212,0.9939106901217862,0.9420910555900328,,122,0.1,4,0.5,40,0.9643156064898275,50
