,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,patience
33,model_9966,0.9996382184183473,0.038798824654966736,0.9966878362319026,0.04775778489120683,0.9874788494077834,0.9865912667593197,0.937210307995973,3,0.07,3,0.9,20,50
34,model_9962,0.9993567805385941,0.060949227582781706,0.9962303691682534,0.06961415332758984,0.9752961082910322,0.9836187867887509,0.8888519050757193,2,0.07,3,0.9,30,50
35,model_9968,0.9997448735080033,0.042332505296564904,0.9968462885109319,0.05097484864468597,0.9861252115059221,0.989300604970569,0.9316659343783154,2,0.07,3,0.9,40,50
36,model_9972,0.9999483169169068,0.02278351625087196,0.9972015282977881,0.03252433462389045,0.993570219966159,0.993206854970569,0.9661047134642378,4,0.07,5,0.5,20,50
37,model_9970,0.9999671107653043,0.01889311592842331,0.9970302976091595,0.029654061026457502,0.9918781725888325,0.9888995053956835,0.9575932684994284,5,0.07,5,0.5,30,50
38,model_9979,0.9999916602297736,0.01566056548434276,0.9979120078715004,0.025824834488815895,0.994585448392555,0.990319959941138,0.9709903055589643,6,0.07,5,0.5,40,50
39,model_9968,0.9999216531444928,0.031395684349745163,0.9968207316917337,0.040987613323728446,0.9898477157360406,0.991253729970569,0.9483037326279549,3,0.07,5,0.7,20,50
40,model_9964,0.9999514883788239,0.021773443548957105,0.9964118225845612,0.03254341107008412,0.9928934010152284,0.9894321758502289,0.9625367885657364,3,0.07,5,0.7,30,50
41,model_9962,0.99991419433591,0.02735390219766707,0.996204812349055,0.037918506935124455,0.9898477157360406,0.9878341644865926,0.9479821901346301,2,0.07,5,0.7,40,50
42,model_9974,0.9998770177545486,0.036307547991424424,0.9974800976270494,0.04556835338980978,0.9844331641285956,0.9849932553956835,0.9240105098389982,3,0.07,5,0.9,20,50
43,model_9966,0.9999817934593649,0.015379217006673858,0.9966443896392655,0.027011820985256153,0.9942470389170897,0.9935619686069326,0.9694764977843346,4,0.07,5,0.9,30,50
44,model_9971,0.9998849464093413,0.03457412488008693,0.9971836385243492,0.04487369661745292,0.9847715736040609,0.9817512467298888,0.9249991962688828,2,0.07,5,0.9,40,50
45,model_9972,0.9999960063072155,0.010901278718685105,0.9972603089819441,0.022126513527246247,0.9962774957698816,0.9946273095160236,0.9798581113780448,5,0.07,7,0.5,20,50
46,model_9980,0.9999990015768039,0.006103997232424578,0.9980857942420487,0.017549913242641067,0.9966159052453468,0.9879657353662525,0.9813810884785797,5,0.07,7,0.5,30,50
