,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,patience
62,model_9939,0.9997232605823462,0.04458091451246734,0.9939353668042475,0.05445748509069776,0.9844331641285956,0.9884128208796599,0.9244554657940485,2,0.1,3,0.9,40,50
63,model_9959,0.9999990603075801,0.004133389724706437,0.9959799123401102,0.01800199611580676,0.9976311336717428,0.9919179713047743,0.9869227039182575,5,0.1,5,0.5,20,50
64,model_9961,0.9999817934593649,0.018589320548670737,0.9961741441660171,0.030427148088118923,0.9922165820642977,0.9856574967298888,0.9589688636672351,4,0.1,5,0.5,30,50
65,model_9967,0.9999790331128815,0.020693214954282575,0.9967338385064595,0.030603631470710276,0.9922165820642977,0.9856574967298888,0.9589688636672351,3,0.1,5,0.5,40,50
66,model_9938,0.999797143898859,0.04548047560774788,0.9938331395274544,0.056713361806324206,0.9827411167512691,0.9841054713047743,0.9169726602851044,2,0.1,5,0.7,20,50
67,model_9953,0.9999760378432931,0.01909615323262644,0.9953818827708704,0.031550336878109854,0.9912013536379018,0.9885443917593197,0.954349376114082,2,0.1,5,0.7,30,50
68,model_9959,0.9999411517622052,0.022371560826758372,0.9959645782485912,0.03449539040040974,0.9908629441624366,0.988366834941138,0.9527426555209977,2,0.1,5,0.7,40,50
69,model_9968,0.999995888845663,0.009754444130967821,0.9968590669205311,0.021749237605554667,0.9952622673434857,0.9872555080935252,0.9742798098061256,3,0.1,5,0.9,20,50
70,model_9955,0.9999917776913261,0.012320292671969142,0.9955607805052583,0.025428070699651886,0.9932318104906938,0.9861901671844343,0.9639734317775057,2,0.1,5,0.9,30,50
71,model_9965,0.9999819696516936,0.013644269084764696,0.996531939634793,0.025679050760473117,0.994585448392555,0.990319959941138,0.9709903055589643,2,0.1,5,0.9,40,50
72,model_9970,0.9999987079229227,0.006005047613823603,0.9970149635176406,0.0186032564173152,0.9962774957698816,0.9877881785480707,0.9795879407777117,5,0.1,7,0.5,20,50
73,model_9975,0.9999967698073067,0.008239698732310221,0.9975848805857623,0.020070162960844008,0.9949238578680203,0.9802388203073904,0.9721653737877887,3,0.1,7,0.5,30,50
74,model_9976,0.9999860808060306,0.019348163077879333,0.9976768851348761,0.029910843974743563,0.9925549915397631,0.9926741845160236,0.9611271627911426,2,0.1,7,0.5,40,50
75,model_9952,0.9993261818041719,0.08648201576266074,0.9952566543567988,0.10013505785200348,0.9722504230118443,0.9717620789731851,0.8761459730445876,1,0.1,7,0.7,20,50
76,model_9980,0.9999942443839283,0.00999011225112697,0.9980474590132512,0.02058471618615421,0.9959390862944163,0.9876106217298888,0.9778067623658767,2,0.1,7,0.7,30,50
77,model_9978,0.9999815585362599,0.0182542550438935,0.9978583385511839,0.02850589871021462,0.9922165820642977,0.9856574967298888,0.9589688636672351,2,0.1,7,0.7,40,50
78,model_9980,0.9999967698073067,0.008590873281993844,0.9980909056058883,0.01988317523110378,0.9966159052453468,0.9913853008502289,0.9815056353048972,2,0.1,7,0.9,20,50
79,model_9969,0.9999835553826522,0.01379702236780732,0.9969561828334845,0.02466464075659942,0.993570219966159,0.9829481585186396,0.9654379369504743,2,0.1,7,0.9,30,50
80,model_9978,0.9999960650379918,0.009894295737024281,0.9978787840065425,0.02069792267382723,0.9952622673434857,0.9906750735775016,0.9744493359421321,2,0.1,7,0.9,40,50
