,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,depth,colsample_bylevel,min_data_in_leaf,test f1_score,early stopping (iterations)
33,model_9997,0.9996113562378144,0.04979464675388644,0.9997309400357856,0.05948544571678808,0.9905277401894452,0.7595959595959596,,169,0.07,4,0.9,20,0.8126981832864186,50
34,model_9997,0.9996113562378144,0.04979464675388644,0.9997309400357856,0.05948544571678808,0.9905277401894452,0.7595959595959596,,167,0.07,4,0.9,30,0.8126981832864186,50
35,model_9997,0.9996113562378144,0.04979464675388644,0.9997309400357856,0.05948544571678808,0.9905277401894452,0.7595959595959596,,171,0.07,4,0.9,40,0.8126981832864186,50
36,model_9999,0.9999997947054016,0.01258371982304158,0.9999946886328677,0.025105217640837695,0.993234100135318,0.8732215660330677,,987,0.07,6,0.5,20,0.9044916686307591,50
37,model_9999,0.9999997947054016,0.01258371982304158,0.9999946886328677,0.025105217640837695,0.993234100135318,0.8732215660330677,,1040,0.07,6,0.5,30,0.9044916686307591,50
38,model_9999,0.9999997947054016,0.01258371982304158,0.9999946886328677,0.025105217640837695,0.993234100135318,0.8732215660330677,,1007,0.07,6,0.5,40,0.9044916686307591,50
39,model_9999,0.9999999215392376,0.009838905551516147,0.9999917976355677,0.022543847263220007,0.9939106901217862,0.8868579296694313,,1304,0.07,6,0.7,20,0.9121983688898188,50
40,model_9999,0.9999999215392376,0.009838905551516147,0.9999917976355677,0.022543847263220007,0.9939106901217862,0.8868579296694313,,1259,0.07,6,0.7,30,0.9121983688898188,50
41,model_9999,0.9999999215392376,0.009838905551516147,0.9999917976355677,0.022543847263220007,0.9939106901217862,0.8868579296694313,,1290,0.07,6,0.7,40,0.9121983688898188,50
42,model_9999,0.9999999135341512,0.010163932832145879,0.99999691851063,0.021522365904353802,0.9939106901217862,0.8868579296694312,,1229,0.07,6,0.9,20,0.9130401197315695,50
43,model_9999,0.9999999135341512,0.010163932832145879,0.99999691851063,0.021522365904353802,0.9939106901217862,0.8868579296694312,,1145,0.07,6,0.9,30,0.9130401197315695,50
44,model_9999,0.9999999135341512,0.010163932832145879,0.99999691851063,0.021522365904353802,0.9939106901217862,0.8868579296694312,,1144,0.07,6,0.9,40,0.9130401197315695,50
45,model_9999,0.9999999909942777,0.005398900920397276,0.9999924475496892,0.018612621336307946,0.9942489851150202,0.8929185357300373,,3554,0.07,9,0.5,20,0.9172542230615885,50
46,model_9999,0.9999999909942777,0.005398900920397276,0.9999924475496892,0.018612621336307946,0.9942489851150202,0.8929185357300373,,3385,0.07,9,0.5,30,0.9172542230615885,50
47,model_9999,0.9999999909942777,0.005398900920397276,0.9999924475496892,0.018612621336307946,0.9942489851150202,0.8929185357300373,,3414,0.07,9,0.5,40,0.9172542230615885,50
48,model_9999,0.9999999909942777,0.006914033994694754,0.9999954842173958,0.01973120577894215,0.9942489851150202,0.8929185357300373,,2842,0.07,9,0.7,20,0.9164124722198377,50
49,model_9999,0.9999999909942777,0.006914033994694754,0.9999954842173958,0.01973120577894215,0.9942489851150202,0.8929185357300373,,2830,0.07,9,0.7,30,0.9164124722198377,50
50,model_9999,0.9999999909942777,0.006914033994694754,0.9999954842173958,0.01973120577894215,0.9942489851150202,0.8929185357300373,,2924,0.07,9,0.7,40,0.9164124722198377,50
51,model_9999,0.9999965641644298,0.02054715169184733,0.9999837969686212,0.032241617877497054,0.9939106901217862,0.8565656565656566,,1377,0.07,9,0.9,20,0.8859838749504295,50
52,model_9999,0.9999965641644298,0.02054715169184733,0.9999837969686212,0.032241617877497054,0.9939106901217862,0.8565656565656566,,1373,0.07,9,0.9,30,0.8859838749504295,50
53,model_9999,0.9999965641644298,0.02054715169184733,0.9999837969686212,0.032241617877497054,0.9939106901217862,0.8565656565656566,,1373,0.07,9,0.9,40,0.8859838749504295,50
54,model_9999,0.9999994627573415,0.014670318933713003,0.9999950696170079,0.025548141636464915,0.9942489851150202,0.8929185357300374,,285,0.1,4,0.5,20,0.9164124722198377,50
55,model_9999,0.9999994627573415,0.014670318933713003,0.9999950696170079,0.025548141636464915,0.9942489851150202,0.8929185357300374,,297,0.1,4,0.5,30,0.9164124722198377,50
56,model_9999,0.9999994627573415,0.014670318933713003,0.9999950696170079,0.025548141636464915,0.9942489851150202,0.8929185357300374,,342,0.1,4,0.5,40,0.9164124722198377,50
