,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,test f1_score,early stopping (iterations)
28,model_9975,0.9994686080809027,0.05517614897871622,0.9975636104534903,0.06154206193276065,0.9891745602165088,0.9738024277063972,12,0.07,3,0.5,30,0.9434587070196034,50
29,model_9982,0.9995642937403436,0.048182545847044,0.9982659240020124,0.05368439363027491,0.9895128552097429,0.9739799214941146,9,0.07,3,0.5,40,0.9450509847660338,50
30,model_9989,0.9999942061894284,0.009457938478256489,0.998914606334102,0.01780327047457356,0.9942489851150202,0.9764648345221587,7,0.07,3,0.7,20,0.9684546270041501,50
31,model_9968,0.9993077274216958,0.06365642451264512,0.9968919433143582,0.06934054672373194,0.9871447902571042,0.9693178364656517,4,0.07,3,0.7,30,0.9336992834460696,50
32,model_9978,0.999615091998689,0.04445483264934092,0.9978292126682041,0.05169388434321298,0.9901894451962111,0.9777545375839903,4,0.07,3,0.7,40,0.9485960825230639,50
33,model_9975,0.999792300669507,0.04645863370761083,0.9975125331045068,0.05317201729028067,0.9905277401894452,0.9779320313717077,4,0.07,3,0.9,20,0.9502098252098252,50
34,model_9969,0.9992695116812584,0.06600830960940579,0.996920035856299,0.072720821995113,0.9871447902571042,0.9693178364656517,3,0.07,3,0.9,30,0.9336992834460696,50
35,model_9980,0.999648216208624,0.03743903801763134,0.9980130911245445,0.04303506635066444,0.9918809201623816,0.9820616350370183,4,0.07,3,0.9,40,0.9570476820133536,50
36,model_9982,0.9999538250854441,0.029000985718426835,0.9982940165439533,0.03677389622244427,0.9928958051420839,0.9825941164001706,7,0.07,5,0.5,20,0.9620495307545158,50
37,model_9988,0.9999762980476614,0.014721544031614856,0.9988814060572628,0.022488692634342784,0.9949255751014885,0.9802394506120343,14,0.07,5,0.5,30,0.9721658473566029,50
38,model_9985,0.9999823259515895,0.014903854570995408,0.9985774958308113,0.022539009360523513,0.9942489851150202,0.9798844630365995,9,0.07,5,0.5,40,0.9686648645783644,50
39,model_9982,0.9999792242146168,0.021058303421790846,0.9982991242788517,0.02959753743415325,0.9939106901217862,0.9831265977633228,4,0.07,5,0.7,20,0.9671497155049786,50
40,model_9982,0.9999065382274451,0.031193901371497933,0.9982659240020124,0.03858149076764158,0.9922192151556157,0.9753998717958541,3,0.07,5,0.7,30,0.9581624408401728,50
41,model_9989,0.9999790486445994,0.015601577145964612,0.9989784530203314,0.02306224428102928,0.9935723951285521,0.9795294754611645,6,0.07,5,0.7,40,0.9652100658149438,50
42,model_9985,0.9999833208483543,0.01832922433748131,0.9985315262167263,0.026563478210949606,0.9935723951285521,0.9761098469467238,4,0.07,5,0.9,20,0.9649783780581719,50
43,model_9985,0.9999269043494545,0.029643264649998658,0.9985034336747854,0.036240894858363334,0.9925575101488497,0.9755773655835716,4,0.07,5,0.9,30,0.9598496522838629,50
44,model_9987,0.999978756027904,0.014566512823637218,0.9987332817452108,0.022674671739285043,0.9935723951285521,0.9795294754611645,4,0.07,5,0.9,40,0.9652100658149438,50
45,model_9986,0.9999992977199307,0.005070914648540113,0.9986975276009225,0.014804752794689464,0.9959404600811907,0.9739326749463049,8,0.07,7,0.5,20,0.977196284753294,50
46,model_9980,0.9999273725361674,0.036272299625331884,0.9980233065943411,0.045245438356946305,0.9912043301759134,0.9748673904327018,4,0.07,7,0.5,30,0.953166284795008,50
47,model_9989,0.9999912214991339,0.0092471381381751,0.9989912223575772,0.017226823767363227,0.9952638700947226,0.9769973158853109,7,0.07,7,0.5,40,0.9737571022727273,50
48,model_9986,0.9999970153097055,0.007796280767319081,0.9986438963844898,0.017530455454601957,0.9956021650879567,0.9771748096730284,6,0.07,7,0.7,20,0.9755485945277669,50
49,model_9984,0.9999975420197574,0.006991570716925839,0.9984293715187594,0.016969201274653394,0.9962787550744249,0.9775297972484632,6,0.07,7,0.7,30,0.9791683617411805,50
50,model_9983,0.9999846083618147,0.0142231622546647,0.9983680786999793,0.022248672003369597,0.9942489851150202,0.9764648345221587,4,0.07,7,0.7,40,0.9684546270041501,50
51,model_9985,0.9999997659066435,0.001773633042032958,0.9985545110237688,0.013349593610856672,0.9956021650879567,0.9737551811585875,7,0.07,7,0.9,20,0.975380791148668,50
52,model_9978,0.9999671098834215,0.0239979840860388,0.9978419820054499,0.033415590465484375,0.9918809201623816,0.9718027494936958,3,0.07,7,0.9,30,0.956199620673305,50
53,model_9986,0.9999932112926635,0.010196559770706555,0.9986847582636766,0.019008182472013805,0.9945872801082544,0.9766423283098761,4,0.07,7,0.9,40,0.9702102465263344,50
54,model_9988,0.9999854276885622,0.01242473453816506,0.9988124516361352,0.020090422237918994,0.9945872801082544,0.9766423283098761,13,0.1,3,0.5,20,0.9702102465263344,50
55,model_9972,0.9994528067793436,0.053581762417822004,0.997277577299183,0.060179640262313656,0.9884979702300406,0.9734474401309623,7,0.1,3,0.5,30,0.9403041102399621,50
56,model_9984,0.9998481319350156,0.028739063261104814,0.998452356325802,0.03504278418587215,0.993234100135318,0.9827716101878881,10,0.1,3,0.5,40,0.9637385149474356,50
57,model_9975,0.9997981530034178,0.04495641087476906,0.9975125331045068,0.051899075770713655,0.9901894451962111,0.9743349090695494,4,0.1,3,0.7,20,0.9482660084549628,50
58,model_9986,0.9999896413689779,0.00970325525507236,0.9986362347821424,0.01854711158142644,0.9949255751014885,0.9768198220975934,6,0.1,3,0.7,30,0.9719776959143935,50
59,model_9978,0.9997272227164193,0.035602975593744396,0.9978317665356533,0.04197532675747535,0.9912043301759134,0.9782870189471427,3,0.1,3,0.7,40,0.953468322181133,50
60,model_9981,0.9999465681913947,0.024041661827615246,0.9981509999667997,0.03163260530661898,0.993234100135318,0.9793519816734472,4,0.1,3,0.9,20,0.9634996838944208,50
61,model_9973,0.9995606067699798,0.046038187829577894,0.9973005621062255,0.052909651070333054,0.9908660351826793,0.9781095251594252,3,0.1,3,0.9,30,0.9518338699408274,50
62,model_9989,0.9999751275808793,0.010616356534673091,0.9989426988760429,0.018729199262760905,0.9949255751014885,0.9802394506120343,5,0.1,3,0.9,40,0.9721658473566029,50
63,model_9987,0.9999872419120746,0.01471433894384459,0.9987281740103126,0.023304051455613557,0.9942489851150202,0.9833040915510403,7,0.1,5,0.5,20,0.9688721641502129,50
64,model_9989,0.9999978931597922,0.006474760758640981,0.998973345285433,0.015547111460444348,0.9959404600811907,0.9807719319751866,9,0.1,5,0.5,30,0.9775060876623376,50
65,model_9989,0.9999980102064704,0.006035496957154221,0.9989452527434921,0.015149000034602162,0.9952638700947226,0.9735776873708701,9,0.1,5,0.5,40,0.9735776873708701,50
66,model_9985,0.9999877686221265,0.013857654766893896,0.998557064891218,0.02264569590458095,0.9945872801082544,0.980061956824317,3,0.1,5,0.7,20,0.9704095218074618,50
67,model_9984,0.9999844913151364,0.014700656092000417,0.9984446947234544,0.023201828644450903,0.9942489851150202,0.9764648345221587,3,0.1,5,0.7,30,0.9684546270041501,50
68,model_9984,0.9999899925090125,0.009856658979933264,0.9984114944466153,0.018809423487863144,0.9952638700947226,0.9804169443997517,3,0.1,5,0.7,40,0.9739339657105426,50
69,model_9984,0.9999966641696708,0.0067279586430182454,0.9984446947234544,0.01635748199739654,0.9952638700947226,0.9769973158853109,4,0.1,5,0.9,20,0.9737571022727273,50
