,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,patience
32,model_9971,0.9999046212193825,0.0447512552269073,0.997188749888189,0.05092709511475621,0.9824027072758037,0.9839279144865926,0.9155892383145535,1,0.1,4,0.7,0.5,50
33,model_9976,0.9999566566871332,0.02937489246282034,0.9976589953614373,0.03629379648543856,0.9884940778341793,0.9837043717298888,0.9414108969783488,2,0.1,4,0.9,0,50
34,model_9976,0.9999680504577242,0.02556231269311292,0.9976922192263951,0.03275525706559899,0.9908629441624366,0.9849472694571615,0.9524435100903683,3,0.1,4,0.9,0.2,50
35,model_9975,0.9999572439948956,0.02488740462079953,0.9975874362676821,0.03322620277594117,0.9905245346869712,0.9847697126389797,0.9508377896613192,3,0.1,4,0.9,0.5,50
36,model_9989,1.0,0.00053725450049689,0.9989905056416678,0.01190535514719435,0.9972927241962775,0.9917404144865926,0.9851048707828638,8,0.1,6,0.5,0,50
37,model_9974,0.9999953015379006,0.00959561522151991,0.9974315396705726,0.01927165353496566,0.9969543147208122,0.9915628576684108,0.9832992242726731,2,0.1,6,0.5,0.2,50
38,model_9981,0.9999992364999089,0.00562881305397009,0.9981343521985254,0.01612923312522666,0.9966159052453468,0.984546169882276,0.9812547576757168,3,0.1,6,0.5,0.5,50
39,model_9976,0.9999970047304116,0.00824262936017703,0.99762066013264,0.0195106701546206,0.9962774957698816,0.9843686130640942,0.979449963300119,2,0.1,6,0.7,0,50
40,model_9971,0.9999966523457542,0.00854967328838561,0.9971018567029147,0.01980249426814082,0.9956006768189509,0.9840134994277305,0.9758766572827502,2,0.1,6,0.7,0.2,50
41,model_9967,0.9999763902279506,0.0199905230239047,0.9967823964629362,0.02925048338010268,0.9922165820642977,0.9856574967298888,0.9589688636672351,1,0.1,6,0.7,0.5,50
42,model_9978,0.9999931284991797,0.01285105982208488,0.9978506715054244,0.02275705439913136,0.9932318104906938,0.9827706017004578,0.9637378819487052,2,0.1,6,0.9,0,50
43,model_9980,0.9999991190383564,0.00704450566563946,0.9980832385601288,0.01766876639616118,0.9969543147208122,0.9881432921844343,0.9831863336091884,3,0.1,6,0.9,0.2,50
44,model_9974,0.9999758616509644,0.01778771032085916,0.9974366510344123,0.02783660652198967,0.9908629441624366,0.9815277039731851,0.9521403235994363,2,0.1,6,0.9,0.5,50
45,model_9992,1.0,0.00068886717139486,0.9992460738336507,0.01185740542054706,0.9966159052453468,0.984546169882276,0.9812547576757168,4,0.1,9,0.5,0,50
46,model_9982,1.0,0.00281774718781239,0.9982416908391581,0.01480874729470326,0.9972927241962775,0.9883208490026161,0.9850038061405735,2,0.1,9,0.5,0.2,50
47,model_9983,1.0,0.00482835093753312,0.9983899203905082,0.01524885703176955,0.9969543147208122,0.9847237267004578,0.9830718201660165,2,0.1,9,0.5,0.5,50
48,model_9990,1.0,0.00067392196915558,0.9990595090535032,0.01305297684732931,0.9959390862944163,0.9807714907619359,0.9775057092108602,5,0.1,9,0.7,0,50
49,model_9982,1.0,0.00283995896905915,0.9982084669742004,0.01511255277401098,0.9962774957698816,0.9843686130640942,0.979449963300119,2,0.1,9,0.7,0.2,50
50,model_9981,1.0,0.00479438260574462,0.9981675760634832,0.01638007718790216,0.9962774957698816,0.9809490475801177,0.9793100024251313,2,0.1,9,0.7,0.5,50
51,model_9992,1.0,0.00048262697849936,0.9992230726963722,0.01297246337734412,0.9949238578680203,0.9733996893394375,0.9717863669433606,6,0.1,9,0.9,0,50
52,model_9981,1.0,0.00272176368251349,0.9981471306081245,0.01599367161761786,0.9959390862944163,0.9807714907619359,0.9775057092108602,2,0.1,9,0.9,0.2,50
53,model_9979,0.9999999412692238,0.00526063349132479,0.9979784556014158,0.01776221136661355,0.9942470389170897,0.9764641411870504,0.9684540902928271,2,0.1,9,0.9,0.5,50
54,model_9969,0.9999976507689503,0.00700605014713778,0.9969587385154044,0.01946442268596597,0.9959390862944163,0.9876106217298888,0.9778067623658767,1,0.3,4,0.5,0,50
55,model_9975,1.0,0.00308147264721905,0.9975056544462476,0.01517191368487277,0.9962774957698816,0.9843686130640942,0.979449963300119,2,0.3,4,0.5,0.2,50
56,model_9964,0.9999565392255807,0.02378037434256564,0.9964041555388017,0.0332036546959804,0.990186125211506,0.984592155820798,0.949242111485516,1,0.3,4,0.5,0.5,50
57,model_9990,1.0,0.00044809573584988,0.9990135067789463,0.0126507933233491,0.9966159052453468,0.984546169882276,0.9812547576757168,4,0.3,4,0.7,0,50
58,model_9967,0.9999668758421993,0.02064253426537777,0.9967951748725353,0.02864955367937947,0.9915397631133672,0.9784632521255723,0.9551124967416685,1,0.3,4,0.7,0.2,50
59,model_9969,0.9999242372986474,0.03907070978754733,0.9969740726069234,0.04493922704683365,0.9840947546531302,0.9813961330935252,0.9221291047131839,1,0.3,4,0.7,0.5,50
60,model_9978,0.999998296807489,0.00791433317805619,0.9978890067342219,0.01793833041634842,0.9949238578680203,0.9836583857913669,0.9723508771929824,1,0.3,4,0.9,0,50
61,model_9988,0.9999999412692238,0.00326141771919201,0.9988780556371954,0.01411310017118447,0.9969543147208122,0.9881432921844343,0.9831863336091884,2,0.3,4,0.9,0.2,50
62,model_9978,0.9999405644544428,0.0311790376311494,0.9978033913899076,0.03849690170936589,0.9857868020304569,0.9788643517004578,0.9289409679281061,1,0.3,4,0.9,0.5,50
63,model_9990,1.0,0.00033916765920274,0.9990058397331868,0.01257329788328773,0.9959390862944163,0.9807714907619359,0.9775057092108602,4,0.3,6,0.5,0,50
64,model_9981,0.9999999412692238,0.0029222166960306,0.9981624646996435,0.01484576028914069,0.9969543147208122,0.9847237267004578,0.9830718201660165,1,0.3,6,0.5,0.2,50
65,model_9975,0.9999991777691326,0.00460618897400053,0.997559323766564,0.01730809439925565,0.9966159052453468,0.984546169882276,0.9812547576757168,1,0.3,6,0.5,0.5,50
66,model_9993,1.0,0.00044035642011946,0.9993201886093257,0.01110373524543378,0.9969543147208122,0.9881432921844343,0.9831863336091884,3,0.3,6,0.7,0,50
67,model_9988,1.0,0.00259085776100154,0.9988116079072799,0.01404995586326585,0.9969543147208122,0.9881432921844343,0.9831863336091884,1,0.3,6,0.7,0.2,50
68,model_9984,1.0,0.00504084499696082,0.9984691465300228,0.01599081523078279,0.9966159052453468,0.9879657353662525,0.9813810884785797,1,0.3,6,0.7,0.5,50
69,model_9992,1.0,0.00045378354108492,0.9992026272410136,0.01080014065784894,0.9962774957698816,0.9843686130640942,0.979449963300119,3,0.3,6,0.9,0,50
