iter	Passed	Remaining
537	9143	160815
538	9160	160791
539	9175	160746
540	9192	160725
541	9208	160692
542	9224	160658
543	9241	160637
544	9258	160614
545	9273	160572
546	9290	160547
547	9306	160524
548	9322	160489
549	9340	160478
550	9355	160443
551	9371	160408
552	9387	160369
553	9403	160341
554	9420	160315
555	9436	160282
556	9454	160283
557	9470	160247
558	9486	160224
559	9504	160210
560	9521	160199
561	9537	160174
562	9554	160146
563	9571	160143
564	9590	160157
565	9608	160149
566	9624	160123
567	9641	160095
568	9658	160087
569	9674	160058
570	9691	160029
571	9708	160015
572	9725	159997
573	9742	159981
574	9759	159967
575	9776	159950
576	9792	159923
577	9808	159880
578	9824	159858
579	9840	159829
580	9858	159817
581	9873	159777
582	9889	159746
583	9907	159742
584	9923	159711
585	9940	159691
586	9956	159655
587	9971	159606
588	9988	159597
589	10004	159563
590	10020	159535
591	10036	159503
592	10053	159485
593	10070	159469
594	10086	159435
595	10103	159417
596	10120	159397
597	10137	159382
598	10155	159384
599	10172	159373
600	10189	159358
601	10206	159333
602	10221	159289
603	10238	159279
604	10255	159264
605	10272	159245
606	10289	159230
607	10306	159201
608	10321	159168
609	10337	159136
610	10352	159088
611	10369	159061
612	10385	159031
613	10400	158989
614	10416	158953
615	10433	158936
616	10450	158924
617	10466	158890
618	10482	158865
619	10499	158845
620	10515	158815
621	10531	158779
622	10547	158750
623	10564	158731
624	10581	158729
625	10597	158697
626	10615	158694
627	10632	158669
628	10648	158643
629	10665	158625
630	10681	158601
631	10698	158578
632	10715	158564
633	10732	158548
634	10749	158530
635	10765	158503
636	10782	158483
637	10799	158469
638	10815	158444
639	10832	158431
640	10849	158405
641	10865	158384
642	10882	158362
643	10898	158337
644	10914	158306
645	10931	158290
646	10948	158269
647	10965	158255
648	10981	158229
649	10997	158195
650	11013	158161
651	11029	158133
652	11045	158110
653	11063	158104
654	11080	158083
655	11097	158066
656	11113	158036
657	11129	158011
658	11145	157987
659	11162	157967
660	11179	157950
661	11196	157932
662	11213	157918
663	11228	157881
664	11244	157850
665	11260	157815
666	11277	157800
667	11293	157766
668	11310	157753
669	11326	157730
670	11343	157713
671	11358	157673
672	11374	157636
673	11390	157611
674	11406	157584
675	11429	157647
676	11446	157624
677	11463	157608
678	11479	157587
679	11496	157571
680	11511	157532
681	11529	157524
682	11550	157570
683	11592	157889
684	11608	157859
685	11624	157833
686	11642	157822
687	11659	157806
688	11676	157799
689	11693	157782
690	11711	157772
691	11728	157757
692	11745	157736
693	11760	157701
694	11778	157696
695	11796	157687
696	11812	157661
697	11829	157651
698	11846	157632
699	11862	157603
700	11881	157607
701	11896	157567
702	11912	157536
703	11928	157509
704	11944	157483
705	11959	157438
706	11975	157410
707	11992	157396
708	12009	157376
709	12025	157343
