,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,test f1_score,early stopping (iterations)
13,model_9979,0.9999757713376094,0.02469298810023039,0.9979237057638235,0.03188409979371248,0.9942489851150202,0.9798844630365995,,426,0.05,6,0.7,0.2,0.9686648645783644,50
14,model_9982,0.9999920993492205,0.0117618212357459,0.998258262399665,0.01949778971952342,0.9952638700947226,0.9804169443997517,,639,0.05,6,0.7,0.5,0.9739339657105426,50
15,model_9983,0.9999936209560373,0.01286215668031302,0.9983910635070219,0.02122450397162585,0.9956021650879567,0.9805944381874692,,747,0.05,6,0.9,0,0.9757140031258078,50
16,model_9984,0.9999959033662624,0.0093683095049436,0.9984574640607004,0.01813342708473746,0.9956021650879567,0.9771748096730284,,878,0.05,6,0.9,0.2,0.9755485945277669,50
17,model_9983,0.9999898754623344,0.01335963038072715,0.9983757403023268,0.02168043024357142,0.9956021650879567,0.9805944381874692,,735,0.05,6,0.9,0.5,0.9757140031258078,50
18,model_9990,0.9999999414766609,0.00124186109259342,0.9990448535740099,0.01067270000191719,0.9959404600811907,0.9773523034607459,,846,0.05,9,0.5,0,0.9773523034607459,50
19,model_9987,0.9999998244299827,0.00422338876074233,0.9987256201428634,0.01263910585973176,0.9962787550744249,0.9775297972484632,,485,0.05,9,0.5,0.2,0.9791683617411805,50
20,model_9987,0.9999999414766609,0.00232056717876566,0.9987741436243976,0.01146821154951104,0.9959404600811907,0.9739326749463049,,778,0.05,9,0.5,0.5,0.977196284753294,50
21,model_9989,0.9999998244299827,0.00502156668767611,0.9989222679364496,0.01349097526846265,0.9959404600811907,0.9773523034607459,,543,0.05,9,0.7,0,0.9773523034607459,50
22,model_9990,0.9999999414766609,0.00150826876680393,0.999062730646154,0.0109274652065543,0.9959404600811907,0.9773523034607459,,1066,0.05,9,0.7,0.2,0.9773523034607459,50
23,model_9992,0.9999999414766609,0.00234675289420552,0.9992057472233076,0.01077077364047568,0.9952638700947226,0.9769973158853109,,880,0.05,9,0.7,0.5,0.9737571022727273,50
24,model_9990,0.9999999414766609,0.0025890117800875,0.9990729461159507,0.01288826060752686,0.9959404600811907,0.9773523034607459,,905,0.05,9,0.9,0,0.9773523034607459,50
25,model_9990,0.9999999414766609,0.00345297882198367,0.9990474074414589,0.01295152287661057,0.9956021650879567,0.9771748096730284,,843,0.05,9,0.9,0.2,0.9755485945277669,50
26,model_9990,0.9999999414766609,0.00264174678490913,0.9990857154531966,0.01288427380643436,0.9952638700947226,0.9735776873708701,,972,0.05,9,0.9,0.5,0.9735776873708701,50
27,model_9981,0.9999236270424645,0.03343040734806752,0.998171430906393,0.03742306355900213,0.9918809201623816,0.9718027494936958,,225,0.1,4,0.5,0,0.956199620673305,50
28,model_9982,0.9999409499508404,0.03080958266303001,0.9982378314600716,0.03497720053922511,0.9925575101488497,0.9721577370691306,,229,0.1,4,0.5,0.2,0.9595832535754327,50
29,model_9978,0.9998938386628587,0.041993275547976,0.9978828438846367,0.04524097109070522,0.9918809201623816,0.9718027494936958,,190,0.1,4,0.5,0.5,0.956199620673305,50
30,model_9973,0.9999335760101128,0.03468387832379556,0.9973312085156156,0.04077361049751034,0.9935723951285521,0.9795294754611645,,273,0.1,4,0.7,0,0.9652100658149438,50
31,model_9983,0.9999985369165223,0.00721584524793579,0.9983987251093693,0.01609524280278179,0.9956021650879567,0.9771748096730284,,600,0.1,4,0.7,0.2,0.9755485945277669,50
32,model_9978,0.999923861135821,0.0340703325690602,0.9978521974752467,0.03892444549554288,0.993234100135318,0.9793519816734472,,271,0.1,4,0.7,0.5,0.9634996838944208,50
33,model_9977,0.9999506648251323,0.02687042698066994,0.9977219502353389,0.03383293344971949,0.9945872801082544,0.980061956824317,,370,0.1,4,0.9,0,0.9704095218074618,50
34,model_9984,0.9999991221499134,0.00595989653090173,0.9984600179281495,0.01573222247050267,0.9952638700947226,0.9769973158853109,,776,0.1,4,0.9,0.2,0.9737571022727273,50
35,model_9982,0.9999957277962451,0.00852683384259802,0.9982378314600716,0.01753936365619502,0.9959404600811907,0.9807719319751866,,660,0.1,4,0.9,0.5,0.9775060876623376,50
36,model_9986,0.9999998244299827,0.00443090535266229,0.9986949737334733,0.01281310952441641,0.9956021650879567,0.9771748096730284,,409,0.1,6,0.5,0,0.9755485945277669,50
37,model_9987,0.9999998244299827,0.00331148674102822,0.9987000814683716,0.01241680893392874,0.996617050067659,0.9811269195506215,,443,0.1,6,0.5,0.2,0.9811269195506215,50
38,model_9979,0.9999454562479517,0.03192629680843312,0.997977336980256,0.03832283020353103,0.9928958051420839,0.9791744878857298,,166,0.1,6,0.5,0.5,0.9618004894627663,50
39,model_9988,0.9999992977199307,0.00573624970542581,0.9988328825757286,0.01355928130147406,0.9952638700947226,0.9735776873708701,,457,0.1,6,0.7,0,0.9735776873708701,50
40,model_9991,0.9999999414766609,0.00143604914117586,0.9991163618625866,0.01103378343524071,0.9962787550744249,0.9775297972484632,,968,0.1,6,0.7,0.2,0.9791683617411805,50
41,model_9985,0.9999992391965916,0.00631355222526902,0.9985468494214214,0.01458942758286328,0.9956021650879567,0.9771748096730284,,450,0.1,6,0.7,0.5,0.9755485945277669,50
42,model_9986,0.9999999414766609,0.00293407062250623,0.9986541118542865,0.0132824189524572,0.9969553450608931,0.9847240418527797,,710,0.1,6,0.9,0,0.9830721039038386,50
43,model_9986,0.9999999414766609,0.00231073703203367,0.9986515579868374,0.01305176814445597,0.996617050067659,0.9845465480650624,,796,0.1,6,0.9,0.2,0.981255073051948,50
44,model_9985,0.9999998244299827,0.00367765427796069,0.9985545110237688,0.01335928504818908,0.9962787550744249,0.9775297972484632,,713,0.1,6,0.9,0.5,0.9791683617411805,50
45,model_9989,0.9999999414766609,0.00093780646619664,0.9989758991528822,0.01022721978327826,0.9952638700947226,0.9735776873708701,,557,0.1,9,0.5,0,0.9735776873708701,50
46,model_9990,0.9999999414766609,0.00135643980859669,0.9990065455622722,0.01033111341446084,0.9956021650879567,0.9805944381874692,,525,0.1,9,0.5,0.2,0.9757140031258078,50
47,model_9988,0.9999999414766609,0.00200780905067184,0.9988788521898136,0.01069543649462337,0.9962787550744249,0.9775297972484632,,486,0.1,9,0.5,0.5,0.9791683617411805,50
48,model_9989,0.9999999414766609,0.00073667174152606,0.9989835607552296,0.01075832895514388,0.9952638700947226,0.9735776873708701,,892,0.1,9,0.7,0,0.9735776873708701,50
49,model_9990,0.9999999414766609,0.00127626641784761,0.9990984847904424,0.01069912792585879,0.9945872801082544,0.9732226997954352,,720,0.1,9,0.7,0.2,0.9700081168831169,50
50,model_9990,0.9999999414766609,0.00192063397999277,0.999062730646154,0.0110617500468769,0.9956021650879567,0.9771748096730284,,645,0.1,9,0.7,0.5,0.9755485945277669,50
51,model_9988,0.9999998244299827,0.00376533285586413,0.9988456519129744,0.01373731566378085,0.9952638700947226,0.9769973158853109,,456,0.1,9,0.9,0,0.9737571022727273,50
52,model_9991,0.9999998244299827,0.00396473815112622,0.9991035925253408,0.01355482145913719,0.9959404600811907,0.9773523034607459,,455,0.1,9,0.9,0.2,0.9773523034607459,50
53,model_9989,0.9999999414766609,0.00207056597510011,0.9989631298156363,0.01194428725245003,0.9952638700947226,0.9769973158853109,,734,0.1,9,0.9,0.5,0.9737571022727273,50
54,model_9988,0.9999865396320052,0.0093549816943949,0.9988150055035844,0.01729110879090311,0.9945872801082544,0.9698030712809944,,156,0.3,4,0.5,0,0.9698030712809944,50
55,model_9992,0.9999998244299827,0.00276885548025873,0.9992491629699435,0.01109526778625538,0.9956021650879567,0.9737551811585875,,240,0.3,4,0.5,0.2,0.975380791148668,50
56,model_9987,0.9999992977199307,0.00581320770727767,0.9987307278777617,0.01393151410127781,0.9952638700947226,0.9769973158853109,,180,0.3,4,0.5,0.5,0.9737571022727273,50
57,model_9991,0.9999999414766609,0.00176585734436426,0.9991878701511634,0.01189241272331906,0.9962787550744249,0.9809494257629041,,338,0.3,4,0.7,0,0.9793103492158027,50
58,model_9984,0.9999999414766609,0.0027927189346653,0.998452356325802,0.01363142299470202,0.9959404600811907,0.9807719319751866,,298,0.3,4,0.7,0.2,0.9775060876623376,50
59,model_9982,0.9999915726391685,0.01057417215166543,0.9982812472067075,0.01906282678509082,0.9959404600811907,0.9807719319751866,,181,0.3,4,0.7,0.5,0.9775060876623376,50
60,model_9980,0.9999942061894284,0.01002294932232814,0.9980565068711804,0.01747983941750504,0.9952638700947226,0.9804169443997517,,223,0.3,4,0.9,0,0.9739339657105426,50
