,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,test f1_score,early stopping (iterations)
37,model_9999,0.9999999969980926,9.236587266688076e-05,0.999996806456471,0.02155756086859443,0.9962787550744249,0.9413818698163746,79,0.07,5,0.5,30,0.9398452420623403,50
38,model_9999,0.9999999969980926,0.0001488985774166126,0.9999950920278395,0.02111972205228443,0.9962787550744249,0.9464216176676241,70,0.07,5,0.5,40,0.9409471513639523,50
39,model_9999,0.9999999969980926,0.00010364253524036574,0.9999976020409993,0.02091759036199637,0.9949255751014885,0.9171394455739503,32,0.07,5,0.7,20,0.925514031965645,50
40,model_9999,0.9999999969980926,0.0001020521308573153,0.9999871922096364,0.02138495164501853,0.996617050067659,0.9464323748668797,33,0.07,5,0.7,30,0.9431563933886252,50
41,model_9999,0.9999999969980926,0.00017604762983769798,0.9999957419419613,0.022749564129097167,0.9962787550744249,0.9388566172911221,30,0.07,5,0.7,40,0.9389422729775531,50
42,model_9999,0.9999999969980926,0.0001265724474510962,0.9999908115589692,0.023399349161554537,0.9952638700947226,0.9221899506244554,34,0.07,5,0.9,20,0.927983424843266,50
43,model_9999,0.9999999969980926,0.0001453035630281692,0.999996694402312,0.02119643910287585,0.9959404600811907,0.9353212637557686,31,0.07,5,0.9,30,0.936472874396265,50
44,model_9999,0.9999999969980926,0.00021358229216584697,0.9999918424572313,0.026191162185242877,0.9959404600811907,0.9327960112305161,28,0.07,5,0.9,40,0.9355699053114779,50
45,model_9999,0.9999999969980926,0.0001389000835029638,0.9999825643728731,0.02120395451012252,0.996617050067659,0.9413926270156302,81,0.07,7,0.5,20,0.9432176287913121,50
46,model_9999,0.9999999969980926,9.535702765077121e-05,0.9999957195311295,0.020557192961887932,0.9969553450608931,0.9414033842148858,82,0.07,7,0.5,30,0.9459166129378895,50
47,model_9999,0.9999999969980926,0.00011598470084305058,0.999991752813904,0.020790000625906198,0.9962787550744249,0.9413818698163746,71,0.07,7,0.5,40,0.9398452420623403,50
48,model_9999,0.9999999969980926,0.00010542665820313845,0.9999969297160458,0.019548798920811097,0.9942489851150202,0.917117931175439,37,0.07,7,0.7,20,0.9205445818598623,50
49,model_9999,0.9999999969980926,9.214499620051141e-05,0.9999951144386713,0.020971823439905432,0.996617050067659,0.9464323748668797,38,0.07,7,0.7,30,0.9431563933886252,50
