,Column,Feature,Importance Score
767,Column_767, sau,0
964,Column_964, un luf,0
768,Column_768, saue,0
787,Column_787, shado,0
788,Column_788, shadow,0
789,Column_789, shadow ,0
790,Column_790, shap,0
791,Column_791, shape,0
792,Column_792, shape ,0
793,Column_793, shape h,0
794,Column_794, shape x,0
795,Column_795, shd,0
796,Column_796, shd ,0
797,Column_797, shd u,0
798,Column_798, shd us,0
799,Column_799, si,0
800,Column_800, si ,0
803,Column_803, si hi ,0
786,Column_786, shad,0
785,Column_785, sha,0
784,Column_784, sh,0
775,Column_775, schli,0
769,Column_769, sauel,0
770,Column_770, sauele,0
771,Column_771, sauele ,0
772,Column_772, sc,0
773,Column_773, sch,0
774,Column_774, schl,0
776,Column_776, schlie,0
783,Column_783, schwarz,0
777,Column_777, schlies,0
778,Column_778, schw,0
779,Column_779, schwa,0
780,Column_780, schwac,0
781,Column_781, schwach,0
782,Column_782, schwar,0
727,Column_727, rep,0
726,Column_726, re,0
725,Column_725, ray,0
724,Column_724, ra,0
669,Column_669, nd vorn,0
670,Column_670, no,0
671,Column_671, not,0
672,Column_672, notr,0
673,Column_673, notra,0
674,Column_674, notrad,0
678,Column_678, oben ,0
679,Column_679, oben h,0
680,Column_680, oben hk,0
681,Column_681, oben l,0
682,Column_682, oben lc,0
683,Column_683, oben m,0
684,Column_684, oben ma,0
685,Column_685, oben o,0
686,Column_686, oben ob,0
668,Column_668, nd vor,0
667,Column_667, nd vo,0
666,Column_666, nd v,0
657,Column_657, nd hint,0
651,Column_651, nd e,0
652,Column_652, nd ec,0
653,Column_653, nd ece,0
654,Column_654, nd h,0
655,Column_655, nd hi,0
656,Column_656, nd hin,0
658,Column_658, nd m,0
665,Column_665, nd us t,0
659,Column_659, nd mi,0
660,Column_660, nd mit,0
661,Column_661, nd mitt,0
662,Column_662, nd u,0
663,Column_663, nd us,0
664,Column_664, nd us ,0
687,Column_687, oben s,0
688,Column_688, oben sc,0
689,Column_689, oben u,0
716,Column_716, phev s,0
710,Column_710, ph,0
711,Column_711, phe,0
712,Column_712, phev,0
713,Column_713, phev ,0
714,Column_714, phev g,0
715,Column_715, phev gp,0
717,Column_717, phev sc,0
708,Column_708, pd u,0
718,Column_718, phev st,0
719,Column_719, pv,0
720,Column_720, pvc,0
721,Column_721, pvc ,0
722,Column_722, pvc u,0
723,Column_723, pvc us,0
